Date,open,close,high,low,volume,money
2017-05-25,17.5,21.01,21.01,17.5,8520.0,176214.02
2017-05-26,23.1,23.1,23.1,23.1,5374.0,124148.0
2017-05-31,25.42,25.42,25.42,25.42,6160.0,156557.0
2017-06-01,27.96,27.96,27.96,27.96,6946.0,194192.0
2017-06-02,30.75,30.75,30.75,30.75,57274.0,1761110.0
2017-06-05,33.82,33.82,33.82,33.82,68414.0,2314026.0
2017-06-06,37.2,37.2,37.2,37.2,192399.0,7157968.0
2017-06-07,40.93,40.93,40.93,40.93,793030.0,32456437.56
2017-06-08,40.93,40.93,40.93,40.93,0.0,0.0
2017-06-09,40.93,40.93,40.93,40.93,0.0,0.0
2017-06-12,40.44,40.06,42.94,38.61,12705120.0,522263290.92
2017-06-13,37.39,38.53,39.36,36.65,9615178.0,363787370.43
2017-06-14,37.39,35.97,37.68,35.56,8072325.0,293736074.89
2017-06-15,35.79,36.28,37.29,35.78,5302394.0,194644576.87
2017-06-16,36.52,38.26,39.91,36.13,9045308.0,348524692.49
2017-06-19,39.07,40.13,42.04,38.67,8569478.0,345847356.94
2017-06-20,39.45,39.9,41.63,39.41,7569297.0,305793650.6
2017-06-21,39.69,43.73,43.79,38.99,9062006.0,381540452.65
2017-06-22,43.11,42.13,43.68,41.58,5992889.0,256381414.1
2017-06-23,42.5,44.03,45.99,41.98,7899207.0,350381094.24
2017-06-26,44.33,46.81,47.69,42.71,6518574.0,293163954.11
2017-06-27,46.85,46.7,48.43,46.25,4614553.0,217749194.64
2017-06-28,46.46,47.4,48.82,46.04,4559499.0,217736956.92
2017-06-29,47.58,48.07,48.15,46.85,3518377.0,166685177.14
2017-06-30,47.62,46.7,51.88,46.24,7419810.0,360358051.28
2017-07-03,46.62,47.16,48.66,45.93,5275180.0,250050408.84
2017-07-04,47.02,47.92,48.44,47.02,3479181.0,165671480.71
2017-07-05,48.06,51.12,51.12,47.76,5019006.0,248761450.18
2017-07-06,50.57,54.17,54.94,50.21,5303301.0,279099498.65
2017-07-07,53.59,53.4,54.55,52.27,3820294.0,203710734.84
2017-07-10,51.91,49.26,52.69,49.22,4333033.0,219380222.57
2017-07-11,49.56,49.29,50.74,48.95,2072266.0,102946142.34
2017-07-12,49.3,48.06,49.53,46.92,4491301.0,215119828.78
2017-07-13,47.63,47.02,48.37,45.95,2449837.0,115598034.97
2017-07-14,46.69,45.28,47.61,44.93,3130038.0,144462462.13
2017-07-17,43.57,41.7,44.24,40.93,3224842.0,137773521.88
2017-07-18,41.26,42.32,43.27,41.2,2480326.0,105109114.8
2017-07-19,41.87,42.5,42.88,40.29,2474774.0,102690653.96
2017-07-20,42.35,43.18,45.32,41.98,2851021.0,125171506.9
2017-07-21,42.73,41.61,43.38,41.51,1726623.0,72726192.75
2017-07-24,41.21,43.68,43.97,40.1,2246668.0,94774356.0
2017-07-25,43.46,45.25,45.97,43.19,2633566.0,118561651.25
2017-07-26,44.79,44.86,45.78,43.8,1770650.0,79181170.0
2017-07-27,44.67,47.27,48.05,44.26,2918129.0,135897752.22
2017-07-28,46.93,46.08,48.07,46.01,1972847.0,92282456.5
2017-07-31,45.83,45.34,46.08,44.71,1241913.0,56262359.25
2017-08-01,45.02,46.39,46.53,44.43,1641828.0,74626560.51
2017-08-02,45.79,45.27,46.15,44.96,1059114.0,48230862.0
2017-08-03,45.21,44.95,46.61,44.73,1170123.0,53278233.82
2017-08-04,44.48,43.87,45.02,42.96,1213660.0,53228254.88
2017-08-07,43.49,43.68,44.64,43.49,619794.0,27256027.1
2017-08-08,43.7,42.76,43.84,42.58,1124759.0,48274525.84
2017-08-09,42.96,43.19,43.38,42.45,658974.0,28334875.62
2017-08-10,43.19,43.07,43.95,42.73,670255.0,29015718.2
2017-08-11,42.91,42.42,42.91,42.03,580212.0,24609863.0
2017-08-14,42.35,44.7,44.98,41.96,1265800.0,55901154.96
2017-08-15,44.73,45.39,45.63,44.39,952167.0,42894695.0
2017-08-16,45.16,47.23,47.45,44.77,2120611.0,99401848.68
2017-08-17,46.99,47.48,47.84,46.63,1481379.0,70003155.26
2017-08-18,46.92,47.08,47.7,46.55,794000.0,37393200.02
2017-08-21,46.79,47.53,47.76,46.79,972350.0,46047675.0
2017-08-22,47.37,46.85,48.92,46.85,1519928.0,72829372.7
2017-08-23,45.02,43.72,45.15,42.93,2396438.0,105191897.92
2017-08-24,43.66,42.99,43.83,42.77,918222.0,39766224.3
2017-08-25,42.65,43.33,43.67,42.48,1197598.0,51666137.83
2017-08-28,43.72,45.45,45.54,43.64,1933435.0,86212752.95
2017-08-29,45.67,45.47,46.38,44.25,2259039.0,103252202.38
2017-08-30,45.09,45.24,46.54,44.85,1679030.0,76541698.54
2017-08-31,45.05,48.3,48.45,44.79,3568505.0,167331382.74
2017-09-01,47.99,49.37,50.36,47.92,3831112.0,189983388.2
2017-09-04,50.13,49.0,51.13,47.99,2341033.0,115198545.49
2017-09-05,48.51,49.34,49.79,48.05,1464751.0,71936914.0
2017-09-06,48.83,49.43,49.71,48.18,1092209.0,53485092.58
2017-09-07,49.96,49.64,51.08,49.21,1663917.0,83648777.0
2017-09-08,49.24,48.9,49.96,48.64,1251552.0,61540028.9
2017-09-11,48.9,50.89,51.08,48.83,1867505.0,93707187.0
2017-09-12,50.95,50.82,53.36,50.36,2509557.0,130928483.35
2017-09-13,50.37,55.23,55.55,50.37,2906835.0,155688162.02
2017-09-14,55.03,57.74,59.06,53.96,3392208.0,192277334.04
2017-09-15,57.79,55.97,57.84,54.45,1940114.0,108614359.18
2017-09-18,55.41,56.91,57.15,54.94,1085773.0,60887714.32
2017-09-19,56.91,56.09,59.74,56.08,2295113.0,133222649.52
2017-09-20,55.7,59.0,59.48,54.94,2652837.0,152915704.09
2017-09-21,58.67,58.09,60.77,57.12,1916714.0,112729824.22
2017-09-22,58.49,58.83,59.51,57.66,1115058.0,65584229.76
2017-09-25,58.07,57.38,59.32,57.29,1059779.0,61831437.88
2017-09-26,56.45,56.29,58.06,54.28,1566718.0,86977934.56
2017-09-27,55.7,56.46,56.61,55.7,623594.0,35030725.0
2017-09-28,55.86,56.06,56.84,55.09,809373.0,45182857.7
2017-09-29,56.08,57.38,59.09,55.93,1196467.0,68820549.0
2017-10-09,58.37,56.77,58.37,55.95,1231854.0,70426569.0
